dataset,sequence,metric,unit,best_method,best_value,best_modality,best_metric_type,best_paper,best_table,n_methods
HKU (stereo),dark_normal,MRE,deg/m,ESVIO,0.015,Stereo E+F+I,metric,ESVIO,I,6
HKU (stereo),hdr_agg,ATE,cm,ESVIO,10.0,Stereo E+F+I,metric,DEVO,3,7
HKU (stereo),hdr_agg,MPE,%,DEIO,0.06,E+I,metric,DEIO,III,15
HKU (stereo),hdr_agg,MRE,deg/m,ESVIO,0.021,Stereo E+F+I,metric,ESVIO,I,7
HKU (stereo),hdr_circle,ATE,cm,PL-EVIO,6.8,E+F+I,metric,DEVO,3,7
HKU (stereo),hdr_circle,MPE,%,EVI-SAM,0.13,E+F+I,metric,DEIO,III,16
HKU (stereo),hdr_circle,MRE,deg/m,ESVIO,0.035,Stereo E+F+I,metric,ESVIO,I,8
HKU (stereo),hdr_dark_normal,ATE,cm,DEVO,6.19,E,up-to-scale,DEVO,3,5
HKU (stereo),hdr_dark_normal,MPE,%,DEVO,0.06,E,up-to-scale,DEVO,3,5
HKU (stereo),hdr_slow,ATE,cm,DEVO,4.95,E,up-to-scale,DEVO,3,7
HKU (stereo),hdr_slow,MPE,%,DEIO,0.07,E+I,metric,DEIO,III,14
HKU (stereo),hdr_slow,MRE,deg/m,VINS-Fusion,0.026,Stereo F+I,metric,ESVIO,I,7
HKU (stereo),hdr_tran_rota,ATE,cm,DEVO,5.91,E,up-to-scale,DEVO,3,7
HKU (stereo),hdr_tran_rota,MPE,%,DEVO,0.08,E,up-to-scale,DEIO,III,14
HKU (stereo),hdr_tran_rota,MRE,deg/m,ESVIO,0.018,Stereo E+F+I,metric,ESVIO,I,7
MVSEC,average,MPE,%,DEIO,0.34,E+I,metric,DEIO,VII,10
MVSEC,indoor_flying1,ARE,deg,ESVO2,1.69,Stereo E+I,metric,ESVO2,VI,6
MVSEC,indoor_flying1,ATE,cm,Stereo-DEVO,3.76,Stereo E,metric,Stereo-DEVO,II,14
MVSEC,indoor_flying1,MPE,%,DPVO,0.16,F,up-to-scale,DEVO,7,10
MVSEC,indoor_flying1,MRE,deg/m,PL-EVIO,0.11,E+F+I,metric,ESVIO,II,6
MVSEC,indoor_flying1,RPE_R,deg/s,ESVO2,0.98,Stereo E+I,metric,ESVO2,VII,6
MVSEC,indoor_flying1,RPE_t,cm/s,Stereo-DEVO,3.73,Stereo E,metric,Stereo-DEVO,II,8
MVSEC,indoor_flying2,ARE,deg,ESVO2,4.53,Stereo E+I,metric,ESVO2,VI,4
MVSEC,indoor_flying2,ATE,cm,DPVO,6.3,F,up-to-scale,DEVO,7,12
MVSEC,indoor_flying2,MPE,%,DPVO,0.15,F,up-to-scale,DEVO,7,8
MVSEC,indoor_flying2,MRE,deg/m,ESVIO,0.11,Stereo E+F+I,metric,ESVIO,II,5
MVSEC,indoor_flying2,RPE_R,deg/s,ESVO2,1.42,Stereo E+I,metric,ESVO2,VII,4
MVSEC,indoor_flying2,RPE_t,cm/s,Stereo-DEVO,5.73,Stereo E,metric,Stereo-DEVO,II,6
MVSEC,indoor_flying3,ARE,deg,ESVO2,2.63,Stereo E+I,metric,ESVO2,VI,4
MVSEC,indoor_flying3,ATE,cm,DPVO,4.6,F,up-to-scale,DEVO,7,12
MVSEC,indoor_flying3,MPE,%,DPVO,0.08,F,up-to-scale,DEVO,7,9
MVSEC,indoor_flying3,MRE,deg/m,ESVIO,0.043,Stereo E+F+I,metric,ESVIO,II,6
MVSEC,indoor_flying3,RPE_R,deg/s,ESVO2,0.77,Stereo E+I,metric,ESVO2,VII,4
MVSEC,indoor_flying3,RPE_t,cm/s,ESVO2,4.75,Stereo E+I,metric,ESVO2,VII,6
MVSEC,indoor_flying4,ARE,deg,ESVO2,10.96,Stereo E+I,metric,ESVO2,VI,2
MVSEC,indoor_flying4,ATE,cm,DPVO,3.2,F,up-to-scale,DEVO,7,11
MVSEC,indoor_flying4,MPE,%,DPVO,0.3,F,up-to-scale,DEVO,7,8
MVSEC,indoor_flying4,MRE,deg/m,Ultimate-SLAM,0.14,E+F+I,metric,ESVIO,II,5
MVSEC,indoor_flying4,RPE_R,deg/s,ESVO2,3.84,Stereo E+I,metric,ESVO2,VII,2
MVSEC,indoor_flying4,RPE_t,cm/s,ESVO2,10.36,Stereo E+I,metric,ESVO2,VII,4
MVSEC,upenn_flying1,RPE_R,deg/s,ESVO,1.0,Stereo E,metric,ESVO,V,4
MVSEC,upenn_flying1,RPE_t,cm/s,ESVO,6.5,Stereo E,metric,ESVO,V,4
MVSEC,upenn_flying3,RPE_R,deg/s,ESVO,1.2,Stereo E,metric,ESVO,V,4
MVSEC,upenn_flying3,RPE_t,cm/s,ESVO,7.1,Stereo E,metric,ESVO,V,4
Mono-HKU (arclab vicon),average,MPE,%,DEIO,0.1,E+I,metric,DEIO,II,10
Mono-HKU (arclab vicon),vicon_dark1,MPE,%,DEIO,0.05,E+I,metric,DEIO,II,9
Mono-HKU (arclab vicon),vicon_dark2,MPE,%,DEVO,0.07,E,up-to-scale,DEIO,II,9
Mono-HKU (arclab vicon),vicon_darktolight1,MPE,%,DEIO,0.11,E+I,metric,DEIO,II,10
Mono-HKU (arclab vicon),vicon_darktolight2,MPE,%,DEIO,0.1,E+I,metric,DEIO,II,10
Mono-HKU (arclab vicon),vicon_hdr1,MPE,%,DEVO,0.11,E,up-to-scale,DEIO,II,10
Mono-HKU (arclab vicon),vicon_hdr2,MPE,%,DEVO,0.07,E,up-to-scale,DEIO,II,10
Mono-HKU (arclab vicon),vicon_hdr3,MPE,%,DEVO,0.12,E,up-to-scale,DEIO,II,9
Mono-HKU (arclab vicon),vicon_hdr4,MPE,%,DEVO,0.07,E,up-to-scale,DEIO,II,9
Mono-HKU (arclab vicon),vicon_lighttodark1,MPE,%,DEIO,0.11,E+I,metric,DEIO,II,9
Mono-HKU (arclab vicon),vicon_lighttodark2,MPE,%,DEVO,0.12,E,up-to-scale,DEIO,II,10
